LATITUDE,LONGITUDE,FLOOR,BUILDINGID
4864982.173416374,-7595.214877898873,1,0
4864982.378529022,-7597.549310457032,1,0
4864982.380590049,-7597.542233270327,1,0
4864982.405619855,-7596.916426027961,1,0
4864982.566119769,-7597.398790167556,1,0
4864982.056823361,-7596.8952599238855,1,0
4864982.267856775,-7597.350407073014,1,0
4864981.966505803,-7597.442827035902,1,0
4864981.459306189,-7600.393563626271,1,0
4864982.204414216,-7597.086235935436,1,0
4864980.359285084,-7595.3844029754055,1,0
4864981.523393267,-7599.392427070114,1,0
4864980.433541413,-7595.457987823023,1,0
4864981.376134538,-7597.962974954314,1,0
4864951.485365519,-7642.454117464604,1,0
4864981.618050393,-7598.428315439187,1,0
4864982.3879764965,-7597.222486143532,1,0
4864981.573334457,-7598.55851804666,1,0
4864981.860666165,-7598.515555181024,1,0
4864981.16518352,-7596.318800583084,1,0
4864981.814197295,-7598.798939892176,1,0
4864981.786202116,-7599.851140494044,1,0
4864981.464004049,-7599.146187382049,1,0
4864948.432976913,-7644.768399059395,1,0
4864981.319368093,-7599.601678607509,1,0
4864981.063247735,-7601.347910272916,1,0
4864980.541559033,-7601.044407998677,1,0
4864980.973077564,-7601.1454799778985,1,0
4864981.641293451,-7600.1986659278155,1,0
4864981.839441924,-7598.819033763627,1,0
4864981.625325148,-7600.1881843176525,1,0
4864981.793746502,-7598.902279517172,1,0
4864981.457825797,-7600.327207468808,1,0
4864980.445396328,-7601.091273853251,1,0
4864980.759769563,-7601.086002013059,1,0
4864980.949846894,-7599.453285089278,1,0
4864980.545893823,-7601.307747967187,1,0
4864980.825203079,-7601.279580109736,1,0
4864980.809675472,-7601.3106569041165,1,0
4864980.611063484,-7601.55755187762,1,0
4864980.626706375,-7601.538361958169,1,0
4864981.783641033,-7598.967537605236,1,0
4864980.221182677,-7602.895584691343,1,0
4864980.830281673,-7601.428379810078,1,0
4864981.371768923,-7600.094110490679,1,0
4864980.66536204,-7601.435982020575,1,0
4864981.104716021,-7601.416870202085,1,0
4864981.574484443,-7600.27978502106,1,0
4864980.562823033,-7602.747770583003,1,0
4864980.573213167,-7602.738651485253,1,0
4864981.226022681,-7600.331869926895,1,0
4864981.041491337,-7601.460375529445,1,0
4864978.096029877,-7610.998916878165,1,0
4864979.1504751295,-7607.58453524583,1,0
4864978.078451834,-7611.0612175690985,1,0
4864976.655395206,-7615.046188051051,1,0
4864977.965461186,-7611.164126915271,1,0
4864977.01813279,-7616.110165100657,1,0
4864980.587529227,-7620.287195010032,1,0
4864980.672394115,-7620.393193649295,1,0
4864977.025456226,-7616.091038928249,1,0
4864978.137964735,-7610.888606173584,1,0
4864984.459566165,-7626.752494003207,1,0
4864987.290349232,-7631.855498320657,1,0
4864985.411480298,-7628.099117689048,1,0
4864987.292517363,-7631.802661346568,1,0
4864982.7372857975,-7620.511770627842,1,0
4864979.667378068,-7612.005295256878,1,0
4864981.812388229,-7616.160104259407,1,0
4864981.727986249,-7616.065719014288,1,0
4864982.631865715,-7620.142363632912,1,0
4864982.707656852,-7620.340901323094,1,0
4864983.115966038,-7620.933290503609,1,0
4864984.816345657,-7624.688232984912,1,0
4864983.016988757,-7620.84446250896,1,0
4864984.884984453,-7624.769875262503,1,0
4864984.843465939,-7624.770623558318,1,0
4864982.921922544,-7620.639686851222,1,0
4864982.151682505,-7623.797531707983,1,0
4864982.058827033,-7623.668927471656,1,0
4864981.935719275,-7623.579165275915,1,0
4864982.004560285,-7623.622884860059,1,0
4864979.299043549,-7619.90846991721,1,0
4864976.926256654,-7616.185644213417,1,0
4864976.345265867,-7616.13619395983,1,0
4864981.462928381,-7617.098101732136,1,0
4864981.575116416,-7617.314072859839,1,0
4864981.125073548,-7619.479732890485,1,0
4864982.922604399,-7624.246403237179,1,0
4864986.177208891,-7629.38388623035,1,0
4864982.856137798,-7620.285087386549,1,0
4864985.640031627,-7632.005062086041,2,0
4864984.610064608,-7625.039977400336,1,0
4864984.586988558,-7625.033324743598,1,0
4864984.545158975,-7624.949498249911,1,0
4864984.635580703,-7625.02293437876,1,0
4864984.674356577,-7625.030770630874,1,0
4864987.048393042,-7626.225609300668,1,0
4864988.216221141,-7628.791778674142,1,0
4864984.559532475,-7624.9118107704135,1,0
4864986.946276195,-7626.141705384137,1,0
4864987.023429868,-7626.301609395249,1,0
4864981.958075711,-7616.12313541105,1,0
4864978.25041084,-7608.797334506726,1,0
4864977.49990202,-7612.0236389861175,1,0
4864977.494644371,-7612.044558803391,1,0
4864980.983444651,-7618.720990556002,1,0
4864977.513285439,-7611.695833431845,1,0
4864981.62811071,-7617.24984811927,1,0
4864981.539961377,-7617.182313610685,1,0
4864981.689240316,-7617.32371462251,1,0
4864981.153907426,-7619.57183720915,1,0
4864988.167052235,-7633.046157004196,1,0
4864989.127034226,-7633.258157179148,1,0
4864990.251273138,-7633.761157886007,1,0
4864990.356280082,-7633.8401156979235,1,0
4864990.356536826,-7633.8553534197545,1,0
4864991.20469392,-7636.432006052594,1,0
4864995.286098932,-7634.877626371791,1,0
4864987.248658331,-7629.844422194439,1,0
4864989.197099181,-7633.401521925432,1,0
4864986.155418133,-7629.352535287138,1,0
4864990.308920256,-7633.7676153218,1,0
4864993.514259988,-7634.400285290334,1,0
4864985.086964685,-7621.32015775891,1,0
4864988.054701272,-7626.669188751844,1,0
4864984.810515959,-7620.796751132179,1,0
4864987.616920846,-7626.153878291192,1,0
4864987.70517199,-7626.21445263659,1,0
4864987.680125954,-7626.085387693591,1,0
4864991.412987659,-7630.082599666851,1,0
4864991.471589632,-7630.249506560404,1,0
4864982.020018533,-7616.183047867199,1,0
4864981.967771788,-7616.093166350098,1,0
4864981.813763088,-7615.877068678951,1,0
4864978.598563323,-7608.864216710871,1,0
4864981.645189649,-7617.131627995092,1,0
4864981.699840317,-7617.209628684688,1,0
4864977.517258455,-7611.677298308994,1,0
4864981.869593813,-7615.941883791779,1,0
4864981.881356309,-7615.952904541409,1,0
4864977.507975751,-7611.715139319091,1,0
4864991.418504714,-7630.156914666235,1,0
4864990.247804381,-7633.767150252542,1,0
4864985.550013358,-7625.6305429463955,1,0
4864985.0867771795,-7627.73440373015,1,0
4864985.122104409,-7627.80277043791,1,0
4864983.004108344,-7620.699205629525,1,0
4864990.5617893245,-7636.077543197309,1,0
4864987.0285914885,-7632.606592176153,1,0
4864989.056830043,-7635.679147972983,2,0
4864990.240822552,-7633.71077242718,1,0
4864989.273204019,-7633.4655682804805,1,0
4864993.798833872,-7634.611762963132,1,0
4864997.24397256,-7637.951759717758,1,0
4864996.996021242,-7638.135072383203,1,0
4864994.159720578,-7637.486770513042,1,0
4864997.145020569,-7637.9299609305335,1,0
4864997.043089705,-7638.143610250872,1,0
4864998.184059147,-7638.318531931199,1,0
4864996.72144585,-7637.909910830579,1,0
4864988.328239213,-7627.213475006894,1,0
4864985.42877591,-7625.165376651119,1,0
4864981.442872473,-7617.135823157457,1,0
4864985.554920709,-7625.451803416388,1,0
4864981.380613592,-7617.073511597799,1,0
4864980.8471671045,-7619.270029535889,1,0
4864983.925285451,-7624.678113429267,1,0
4864981.858716433,-7623.512483501052,1,0
4864980.879619286,-7619.285867026507,1,0
4864977.462258854,-7611.910589243166,1,0
4864981.320986294,-7619.737491438997,1,0
4864997.134861476,-7637.931154491591,1,0
4864990.297653728,-7633.755999390335,1,0
4864987.008104402,-7629.62694496671,1,0
4864987.029595627,-7629.652391268722,1,0
4864990.220927994,-7633.70825534279,1,0
4864990.2475761585,-7633.733773088422,1,0
4864990.266223674,-7633.758754631308,1,0
4864990.120272908,-7633.611644484187,1,0
4864990.166342416,-7633.636914191385,1,0
4864990.207685692,-7633.683960222968,1,0
4864993.752929068,-7637.458750698496,1,0
4865003.409382134,-7639.746824623257,1,0
4864998.695337226,-7638.212837745756,1,0
4864994.482261865,-7637.290298651704,1,0
4864994.066745505,-7637.411477171414,1,0
4864994.511503764,-7637.301641522115,1,0
4864994.527745489,-7637.294256171192,1,0
4864994.522057565,-7637.299975303748,1,0
4864994.523468192,-7637.31106091986,1,0
4864994.486692557,-7637.435125136913,1,0
4864998.661238137,-7638.203925688231,1,0
4864998.740139765,-7638.227017628795,1,0
4864999.76418065,-7638.616222834539,1,0
4864997.467587939,-7638.0296093230945,1,0
4865002.804092482,-7639.220726498716,1,0
4864999.828694522,-7638.632417605422,1,0
4865001.3201883705,-7639.099164134245,1,0
4865004.343740771,-7639.697518369277,1,0
4865003.181875905,-7639.631138983648,1,0
4865003.1966957,-7639.3739552025045,1,0
4864998.815906647,-7638.248668593676,1,0
4865005.412353616,-7640.263976954991,1,0
4865002.026755484,-7639.157563019129,1,0
4864998.669278138,-7638.202167832424,1,0
4865002.381492357,-7639.295500016203,1,0
4865003.894430284,-7639.822852113669,1,0
4865003.880507658,-7639.822405024723,1,0
4865001.030127049,-7638.9086091506415,1,0
4864997.488278701,-7638.01839856368,1,0
4864997.46543629,-7638.01479919772,1,0
4865004.521806379,-7639.628112318311,1,0
4865008.239819114,-7640.789857585931,1,0
4865008.644892592,-7640.6442302564765,1,0
4865007.122209655,-7640.203306635518,1,0
4865005.193115754,-7639.8855932758215,1,0
4865004.43411588,-7639.876411466233,1,0
4865010.182299949,-7640.824345764467,1,0
4865010.035970975,-7641.316122766485,1,0
4865011.1497136215,-7641.631614164984,1,0
4865010.089266566,-7641.071573092823,1,0
4865009.308042853,-7641.11165442566,1,0
4865003.957730209,-7639.984896463415,1,0
4865011.173184278,-7641.633652027563,1,0
4865003.918978838,-7639.704917336679,1,0
4865011.148652296,-7641.630995243081,1,0
4865010.058729761,-7641.086714104889,1,0
4865011.176777419,-7641.631909444654,1,0
4865003.863391979,-7639.688455495849,1,0
4865011.13955566,-7641.630158774402,1,0
4865003.657508283,-7639.630745504473,1,0
4865003.725023057,-7639.648813369451,1,0
4865003.740031617,-7639.650802155232,1,0
4865013.676524923,-7641.583047863384,1,0
4865009.910812294,-7640.666298568163,1,0
4865013.305451896,-7641.456137279741,1,0
4865011.030998982,-7640.824687188162,1,0
4865009.122214882,-7640.867916381104,1,0
4865009.916691696,-7640.50523769642,1,0
4865009.9303375995,-7640.509148994042,1,0
4865011.104399687,-7640.84572872282,1,0
4865008.977348417,-7640.778047577159,1,0
4865006.195784948,-7640.173068730249,1,0
4865010.656315576,-7640.974001404453,1,0
4865011.01008513,-7641.099131176593,1,0
4865010.642754159,-7640.989459649386,1,0
4865010.643765351,-7640.96961487073,1,0
4865011.0893064905,-7640.841403208328,1,0
4865011.068809206,-7640.835526351041,1,0
4865010.776780402,-7640.731737098734,1,0
4865008.378464797,-7640.333511956491,1,0
4865008.1045886,-7640.247272532784,1,0
4865009.862348256,-7640.759963101283,1,0
4865009.855470543,-7640.7578514373645,1,0
4865009.835506076,-7640.756560959367,1,0
4865009.90728895,-7640.770303846903,1,0
4865009.802642878,-7640.758373627417,1,0
4865012.1334402375,-7641.140734835899,1,0
4865008.321725089,-7640.330124178659,1,0
4865008.710082661,-7640.442651736051,1,0
4865009.507802634,-7640.388098510165,1,0
4865009.560993338,-7640.403346026619,1,0
4865004.794167052,-7639.781656442111,1,0
4865003.605662077,-7639.608460564847,1,0
4865003.596119716,-7639.60603397344,1,0
4865004.812299604,-7639.783094579607,1,0
4865011.267981202,-7641.1215790831,1,0
4865001.825013555,-7639.103442986526,1,0
4865008.268963531,-7640.53580425895,1,0
4865001.892434472,-7639.120360526434,1,0
4865001.886470637,-7639.118934727068,1,0
4865006.239967486,-7640.199994866199,1,0
4865009.623091338,-7641.195338822118,1,0
4865008.854331107,-7641.24655730118,1,0
4865012.818438003,-7641.554281583868,1,0
4865012.60751978,-7641.276562458859,1,0
4865007.883157533,-7640.387596461817,1,0
4865003.376977175,-7639.430371908671,1,0
4865004.637024726,-7639.998587083005,1,0
4865006.509407354,-7640.531716121145,1,0
4865003.58505476,-7639.599485428475,1,0
4865007.382995533,-7640.284839811278,1,0
4865002.467490743,-7639.420457016822,1,0
4865012.304416877,-7641.685949218745,1,0
4865009.517037626,-7641.439986754123,1,0
4865012.267319541,-7641.68339191684,1,0
4865011.738978792,-7641.294199710733,1,0
4865011.811329433,-7641.048474775822,1,0
4865009.941349283,-7640.668025166843,1,0
4865013.351636344,-7641.470019808132,1,0
4865009.467638168,-7640.652354052642,1,0
4865002.322438233,-7639.435811056072,1,0
4865005.137411216,-7639.95366874289,1,0
4865009.79026843,-7640.744945844767,1,0
4865006.743952781,-7640.142032951511,1,0
4865005.0866265865,-7639.947370828723,1,0
4865005.046183631,-7639.940353150401,1,0
4865007.118753672,-7640.246900057485,1,0
4865005.113458842,-7639.9507004088555,1,0
4865002.360828728,-7639.438436412258,1,0
4865005.045041666,-7639.938185700338,1,0
4864994.480419774,-7637.307022544564,1,0
4864998.8868634375,-7638.4029453449075,1,0
4864995.550169501,-7637.6858173400615,1,0
4865000.398187813,-7638.836058348874,1,0
4864995.506931404,-7637.683821997342,1,0
4864994.430424859,-7637.376340684291,1,0
4864997.371375873,-7638.23551256852,1,0
4864995.548137546,-7637.682426450221,1,0
4864996.748694145,-7637.924314437515,1,0
4864996.780831638,-7637.9353740866145,1,0
4864991.596360888,-7630.594810337923,1,0
4864995.325554845,-7637.67003845161,1,0
4864994.188268225,-7637.498766330346,1,0
4864994.148906706,-7637.492577622554,1,0
4864994.101624185,-7637.488810974703,1,0
4864987.102197486,-7632.287965652861,1,0
4864994.147220231,-7637.493349570363,1,0
4864994.151487857,-7637.4874578729505,1,0
4864994.143587881,-7637.440723071124,1,0
4864994.189960282,-7637.495263907954,1,0
4864994.193911971,-7637.499835991342,1,0
4864992.379638167,-7636.9208863226795,1,0
4864993.81312532,-7637.470951838487,1,0
4864990.494093475,-7633.966532753158,1,0
4864991.645723476,-7636.40261543174,1,0
4864994.164165576,-7637.487691087317,1,0
4864990.811067108,-7633.910688987669,1,0
4864993.758545549,-7637.466911688771,1,0
4864990.766284086,-7633.868032943397,1,0
4864993.763950522,-7637.468892755854,1,0
4864988.88743498,-7629.335587851342,1,0
4864985.718155458,-7625.72195279216,1,0
4864989.951177496,-7635.7757176438745,2,0
4864988.782789856,-7629.12056885694,2,0
4864988.668722413,-7628.765882311105,2,0
4864985.598449214,-7625.228184915258,1,0
4864985.772160913,-7625.535134652661,1,0
4864985.67848264,-7625.426357426829,1,0
4864988.67206047,-7628.715328980637,2,0
4864988.745276428,-7628.854444848987,2,0
4864988.717861194,-7635.411446604555,2,0
4864982.486001007,-7623.537267363683,2,0
4864984.447079719,-7625.197622263019,1,0
4864984.625374439,-7624.227574557604,1,0
4864982.417642581,-7621.5085548884945,1,0
4864982.415987701,-7621.4726929342605,1,0
4864982.671648451,-7620.201657369633,1,0
4864982.534177857,-7619.9848685998095,1,0
4864984.612712299,-7624.327028576468,1,0
4864984.61987039,-7624.416193504994,1,0
4864978.241674078,-7608.829145188604,1,0
4864984.0226564165,-7623.779727464797,1,0
4864977.290729804,-7614.542150678934,1,0
4864977.45454207,-7612.204119867912,1,0
4864990.343341447,-7633.824590288523,1,0
4864990.375249227,-7633.857023992512,1,0
4864987.6477342425,-7628.341017650795,1,0
4864987.617583181,-7628.305633025435,1,0
4864987.574641638,-7628.248430968519,1,0
4864987.63357844,-7628.30873282375,1,0
4864986.901054205,-7632.329020148021,1,0
4864977.557113319,-7611.614654355236,1,0
4864978.113255102,-7610.958031783279,1,0
4864980.922253758,-7619.332948399206,1,0
4864981.097968512,-7619.535545162892,1,0
4864976.648558594,-7615.0828244546365,1,0
4864981.218339817,-7619.610432391939,1,0
4864984.291039349,-7624.577340527471,1,0
4864981.917699328,-7623.543553381866,1,0
4864981.020665516,-7619.404440277199,1,0
4864983.713081168,-7624.324464985643,1,0
4864987.461426822,-7628.143114316811,1,0
4864983.726726422,-7621.161683205707,1,0
4864993.792578434,-7637.1817796529285,1,0
4864990.211543215,-7633.728012314364,1,0
4864990.180890892,-7633.641143993503,1,0
4864984.519816169,-7621.883352726812,1,0
4864983.767538978,-7624.39520860119,1,0
4864990.194586012,-7633.723994941647,1,0
4864981.342426951,-7613.839239226214,1,0
4864992.328086639,-7636.911043147911,1,0
4864988.425530854,-7635.6817005386,1,0
4864982.649736041,-7624.090431362421,1,0
4864978.233515959,-7608.870682990241,1,0
4864978.230124409,-7608.8841436681805,1,0
4864981.059207707,-7618.856485821279,1,0
4864981.855804526,-7615.624231482725,1,0
4864983.511797654,-7620.823047096418,1,0
4864981.803027923,-7615.897893071977,1,0
4864989.526146759,-7626.693946374031,1,0
4864986.09092638,-7631.142649928437,2,0
4864981.776286065,-7623.482096993244,1,0
