LATITUDE,LONGITUDE,FLOOR,BUILDINGID
4864979.958561443,-7600.54154622293,1,0
4864980.61957549,-7601.5624356348335,1,0
4864980.624339601,-7601.555260239271,1,0
4864981.399456758,-7597.428204357134,1,0
4864981.251265588,-7600.093545107451,1,0
4864981.703181807,-7597.974876830757,1,0
4864981.916714822,-7595.646844869883,1,0
4864981.22923473,-7598.832151748465,1,0
4864980.9212881895,-7601.664364647386,1,0
4864980.634443814,-7601.0339700297145,1,0
4864980.359285084,-7595.3844029754055,1,0
4864980.847489126,-7600.73911811433,1,0
4864980.433541413,-7595.457987823023,1,0
4864980.862491216,-7599.280034912486,1,0
4864951.290473021,-7641.91462493627,1,0
4864981.693025229,-7598.129211287305,1,0
4864981.357085181,-7599.778039703933,1,0
4864981.930608873,-7598.2320034716495,1,0
4864981.9403935345,-7598.2151360034895,1,0
4864980.360774351,-7595.543454925731,1,0
4864981.814197295,-7598.798939892176,1,0
4864981.8253235845,-7598.773725654968,1,0
4864981.815655916,-7598.8031020757735,1,0
4864951.421627,-7642.326885343596,1,0
4864980.951766016,-7600.474976590033,1,0
4864981.063247735,-7601.347910272916,1,0
4864980.541559033,-7601.044407998677,1,0
4864981.044269918,-7601.38085589705,1,0
4864980.958312896,-7601.560209321786,1,0
4864980.908111404,-7601.2904066157325,1,0
4864980.9746002,-7601.4858195674915,1,0
4864981.582244116,-7600.234129880748,1,0
4864980.975004276,-7601.477953835223,1,0
4864980.445396328,-7601.091273853251,1,0
4864980.759769563,-7601.086002013059,1,0
4864980.949846894,-7599.453285089278,1,0
4864980.613408464,-7601.545516620453,1,0
4864980.592661866,-7601.600918544704,1,0
4864980.579287072,-7601.6308553262415,1,0
4864980.611063484,-7601.55755187762,1,0
4864980.626706375,-7601.538361958169,1,0
4864980.618838228,-7601.575324631512,1,0
4864981.413193533,-7599.704306946097,1,0
4864981.381151723,-7599.784404271246,1,0
4864981.7028555805,-7601.414880095047,1,0
4864981.395718084,-7599.74982662322,1,0
4864981.419558268,-7599.70950481781,1,0
4864981.574484443,-7600.27978502106,1,0
4864981.402053067,-7599.723218532343,1,0
4864981.425055299,-7599.6830917845655,1,0
4864981.226022681,-7600.331869926895,1,0
4864982.096795698,-7598.667978306341,1,0
4864978.4646104025,-7609.645998335474,1,0
4864978.815461767,-7609.025834881173,1,0
4864978.926817063,-7607.887445105072,1,0
4864982.24920744,-7615.270469502061,1,0
4864982.406615974,-7614.263280125681,1,0
4864982.4886018885,-7614.819344267034,1,0
4864982.563337111,-7614.53850840873,1,0
4864982.651105266,-7614.948244219632,1,0
4864982.139850124,-7614.733346342561,1,0
4864978.50870366,-7609.530355360293,1,0
4864985.910617737,-7618.967982983786,1,0
4864987.656845828,-7626.631386290452,1,0
4864987.790271392,-7626.918509566653,1,0
4864987.673737269,-7626.780570897832,1,0
4864983.8288167305,-7621.717525847365,1,0
4864984.818449311,-7617.256743273316,1,0
4864982.69753073,-7614.648328486215,1,0
4864982.623239942,-7614.478296900249,1,0
4864982.723347947,-7614.535856592835,1,0
4864982.791314519,-7614.764738069491,1,0
4864987.610965772,-7626.561840774681,1,0
4864986.735704541,-7625.385729790704,1,0
4864984.699973777,-7622.669448746457,1,0
4864986.8317509955,-7625.501240981239,1,0
4864986.806984311,-7625.470291887386,1,0
4864987.777999222,-7626.119929526491,1,0
4864984.448839989,-7622.599446461621,1,0
4864984.736022565,-7622.400323512885,1,0
4864984.223591075,-7622.296949873748,1,0
4864984.337445214,-7622.525601254147,1,0
4864983.969100771,-7625.078850520392,1,0
4864981.28113828,-7618.0636870010185,1,0
4864981.536186711,-7618.2904178676745,1,0
4864982.534363868,-7614.480398788142,1,0
4864982.634674148,-7614.814616263275,1,0
4864983.656273602,-7621.517929872044,1,0
4864984.860563421,-7622.596103508247,1,0
4864987.20930375,-7629.7749841970635,1,0
4864984.453930223,-7622.179136726831,1,0
4864986.9200494755,-7625.644344133698,1,0
4864987.552827027,-7626.339944919287,1,0
4864987.525434844,-7626.262646450003,1,0
4864987.4709060695,-7626.139683513185,1,0
4864987.910401179,-7626.354549298418,1,0
4864987.968625122,-7626.205954853911,1,0
4864988.104709772,-7626.680260190021,1,0
4864988.143855816,-7626.580240579023,1,0
4864987.899948022,-7626.138789629393,1,0
4864988.042028875,-7626.424692112806,1,0
4864988.116206857,-7626.570662778407,1,0
4864982.517445881,-7614.453799417031,1,0
4864978.020180248,-7609.867834693592,1,0
4864978.021768134,-7609.8640490992975,1,0
4864978.011546751,-7609.905357614065,1,0
4864981.539400244,-7616.66989413057,1,0
4864981.535240999,-7616.623739434638,1,0
4864981.796731971,-7616.978878105725,1,0
4864981.691392517,-7616.87503634516,1,0
4864981.849469116,-7617.036871506955,1,0
4864984.65875805,-7622.358537573069,1,0
4864990.325622455,-7633.78091618419,1,0
4864990.476557958,-7633.918537439801,1,0
4864990.525735433,-7633.961670109265,1,0
4864991.750756932,-7634.210451590657,1,0
4864990.735200414,-7633.787732553735,1,0
4864991.752141771,-7634.206902058823,1,0
4864991.831220451,-7634.261181060253,1,0
4864987.248658331,-7629.844422194439,1,0
4864987.441543038,-7630.035522788135,1,0
4864987.194702389,-7629.7985365656,1,0
4864990.68545973,-7633.781766132041,1,0
4864990.636655159,-7633.73142080021,1,0
4864984.891170072,-7622.393306245915,1,0
4864988.054701272,-7626.669188751844,1,0
4864984.638510818,-7621.89160839218,1,0
4864987.616920846,-7626.153878291192,1,0
4864987.70517199,-7626.21445263659,1,0
4864987.680125954,-7626.085387693591,1,0
4864991.412987659,-7630.082599666851,1,0
4864991.471589632,-7630.249506560404,1,0
4864984.4634316545,-7622.239207819091,1,0
4864984.412317969,-7622.144195338817,1,0
4864983.62271763,-7621.093768779606,1,0
4864978.987695246,-7607.431573852218,1,0
4864984.270862136,-7622.053486085785,1,0
4864984.326679428,-7622.137796831585,1,0
4864982.41544999,-7614.185121339949,1,0
4864982.065975252,-7615.703455716382,1,0
4864982.077317133,-7615.709271856804,1,0
4864981.799084102,-7615.649169565608,1,0
4864991.056018436,-7630.15998207309,1,0
4864990.219956745,-7633.726184897473,1,0
4864985.80564647,-7618.977049519585,1,0
4864987.78245932,-7626.61363871412,1,0
4864987.499235068,-7626.652447077682,1,0
4864987.464636558,-7626.370638920746,1,0
4864993.818854758,-7637.329933716602,1,0
4864990.386405235,-7633.920258107945,1,0
4864995.185734689,-7637.761013133593,2,0
4864988.117497835,-7626.979809275631,1,0
4864990.34630397,-7633.791750921788,1,0
4864990.874430311,-7633.9357730558295,1,0
4864994.191055296,-7637.490252835967,1,0
4864990.840657664,-7634.234565385378,1,0
4864994.159720578,-7637.486770513042,1,0
4864994.157959239,-7637.4815494544955,1,0
4864994.173687505,-7637.486761735145,1,0
4864994.274267533,-7637.227260794883,1,0
4864994.2815891765,-7637.237056730335,1,0
4864988.328239213,-7627.213475006894,1,0
4864984.438820887,-7622.229466126741,1,0
4864984.047360518,-7622.027495603124,1,0
4864984.537861571,-7622.541990085671,1,0
4864983.976893775,-7621.94466019057,1,0
4864981.491535475,-7616.950216192425,1,0
4864984.428886783,-7622.639171031153,1,0
4864984.176247882,-7622.267677440726,1,0
4864981.533898458,-7616.974597760543,1,0
4864978.612814813,-7608.870930072056,1,0
4864984.456768589,-7622.630232944451,1,0
4864990.949584897,-7634.031620500932,1,0
4864987.463929646,-7630.068503125486,1,0
4864987.008104402,-7629.62694496671,1,0
4864987.029595627,-7629.652391268722,1,0
4864990.583867611,-7633.699490599241,1,0
4864990.514362372,-7633.9265982931,1,0
4864990.526228703,-7633.940029151221,1,0
4864987.280793927,-7629.909143320128,1,0
