LATITUDE,LONGITUDE,FLOOR,BUILDINGID
4864982.173416374,-7594.728375924949,1,0
4864982.378529022,-7597.545934190495,1,0
4864982.380590049,-7597.533642500151,1,0
4864982.405619855,-7594.287013321871,1,0
4864982.566119769,-7595.426762270491,1,0
4864982.056823361,-7596.990181701407,1,0
4864982.267856775,-7596.845480434333,1,0
4864981.966505803,-7597.327125256896,1,0
4864981.459306189,-7596.709197051171,1,0
4864982.204414216,-7597.18598843299,1,0
4864980.359285084,-7597.1001231875425,1,0
4864981.523393267,-7596.2550717337745,1,0
4864980.433541413,-7597.286735050444,1,0
4864981.376134538,-7597.940679152409,1,0
4864951.485365519,-7644.792109365714,1,0
4864981.618050393,-7598.805146376691,1,0
4864982.3879764965,-7598.890529196687,1,0
4864981.573334457,-7598.95279608601,1,0
4864981.860666165,-7598.5179941629685,1,0
4864981.16518352,-7597.111349833627,1,0
4864981.814197295,-7599.164566145816,1,0
4864981.786202116,-7599.701681608415,1,0
4864981.464004049,-7599.183730946609,1,0
4864948.432976913,-7644.80867004546,1,0
4864981.319368093,-7599.638167716051,1,0
4864981.063247735,-7598.449505160894,1,0
4864980.541559033,-7600.899447074166,1,0
4864980.973077564,-7601.014348265138,1,0
4864981.641293451,-7601.364690601459,1,0
4864981.839441924,-7598.859361514805,1,0
4864981.625325148,-7600.181408586095,1,0
4864981.793746502,-7598.922340453081,1,0
4864981.457825797,-7601.296579637837,1,0
4864980.445396328,-7601.389901118046,1,0
4864980.759769563,-7599.140379707632,1,0
4864980.949846894,-7599.081982731342,1,0
4864980.545893823,-7600.965126903984,1,0
4864980.825203079,-7601.038217626529,1,0
4864980.809675472,-7601.103536648636,1,0
4864980.611063484,-7601.0045362194505,1,0
4864980.626706375,-7600.977735877997,1,0
4864981.783641033,-7598.94348688059,1,0
4864980.221182677,-7604.588267261623,1,0
4864980.830281673,-7601.364919728183,1,0
4864981.371768923,-7599.208117574955,1,0
4864980.66536204,-7601.522921798377,1,0
4864981.104716021,-7600.219301872908,1,0
4864981.574484443,-7600.285593725659,1,0
4864980.562823033,-7603.277663777136,1,0
4864980.573213167,-7603.233121405888,1,0
4864981.226022681,-7600.180460130327,1,0
4864981.041491337,-7602.993992600178,1,0
4864978.096029877,-7612.247147950655,1,0
4864979.1504751295,-7610.6970697138795,1,0
4864978.078451834,-7609.594010697942,1,0
4864976.655395206,-7616.12531724009,1,0
4864977.965461186,-7612.191474932865,1,0
4864977.01813279,-7616.119407423892,1,0
4864980.587529227,-7613.584388220335,1,0
4864980.672394115,-7615.054038055133,1,0
4864977.025456226,-7614.671209787013,1,0
4864978.137964735,-7609.850316606021,1,0
4864984.459566165,-7620.484766398821,1,0
4864987.290349232,-7625.566491133786,1,0
4864985.411480298,-7625.994135355376,1,0
4864987.292517363,-7625.646453118494,1,0
4864982.7372857975,-7620.315935125871,1,0
4864979.667378068,-7606.282083740233,1,0
4864981.812388229,-7610.2334839920495,1,0
4864981.727986249,-7610.250297491363,1,0
4864982.631865715,-7614.308525939675,1,0
4864982.707656852,-7617.075926503442,1,0
4864983.115966038,-7620.886472192457,1,0
4864984.816345657,-7624.577111435975,1,0
4864983.016988757,-7622.416598985139,1,0
4864984.884984453,-7624.697845234248,1,0
4864984.843465939,-7624.64652657065,1,0
4864982.921922544,-7624.502004969014,1,0
4864982.151682505,-7617.6204474291335,1,0
4864982.058827033,-7617.419728071903,1,0
4864981.935719275,-7617.187227964656,1,0
4864982.004560285,-7619.10462978737,1,0
4864979.299043549,-7624.066696627223,1,0
4864976.926256654,-7616.161585850394,1,0
4864976.345265867,-7616.147110555178,1,0
4864981.462928381,-7610.324489338072,1,0
4864981.575116416,-7617.097844276205,1,0
